index,2022,2023,2024,202504월,202505월,202506월,202507월,202508월,202509월
15세이상 인구,"45,260","45,407","45,570","45,720","45,734","45,743","45,758","45,779","45,797"
경제활동인구,"28,922","29,203","29,399","29,741","30,012","29,915","29,754","29,559","29,788"
취업자,"28,089","28,416","28,576","28,887","29,160","29,091","29,029","28,967","29,154"
취업자 증감,816,327,159,194,245,183,171,166,312
실업자,833,787,823,854,853,825,726,592,635
비경제활동인구,"16,339","16,204","16,172","15,979","15,722","15,828","16,004","16,220","16,009"
경제활동참가율(15-64세),70.5,71.1,71.5,72.1,72.7,72.5,72.1,71.5,72.1
- 남자 경활참가율(15-64세),79.0,79.0,78.9,79.2,79.7,79.4,79.0,78.5,78.9
- 여자 경활참가율(15-64세),61.8,63.1,63.9,64.9,65.4,65.3,65.0,64.4,65.0
고용률(15-64세),68.5,69.2,69.5,69.9,70.5,70.3,70.2,69.9,70.4
실업률,2.9,2.7,2.8,2.9,2.8,2.8,2.4,2.0,2.1
취업준비자,763,676,627,669,659,651,633,635,609
구직단념자,443,362,371,338,345,341,396,409,369
